#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-19T11:32:39 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-19T11:32:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-source=J/A+A/552/A64/table4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35520064
#Name: J/A+A/552/A64
#Title: Gaia-RVS standards (Soubiran+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/552/a64	    IVOID of underlying data collection
#INFO	creator=Soubiran C.	    First author or institution
#INFO	cites=bibcode:2013A&A...552A..64S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/552/A64	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35520064	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_552_A64_table4:
#Name: J/A+A/552/A64/table4
#Title: Mean radial velocities in SOPHIE scale
#Column	HIP	(I6)	HIP number (Cat. I/311)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (ICRS, Epoch=J1991.25)	[ucd=pos.eq.ra]
#Column	DEJ2000	(A11)	Declination (ICRS, Epoch=J1991.25)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a10)	MK spectral type	[ucd=src.spType]
#Column	Cat	(a9)	Catalogue of origin (1)	[ucd=meta.ref;meta.table]
#Column	RV	(F8.3)	? Mean Radial Velocity in SOPHIE scale	[ucd=phys.veloc;pos.heliocentric]
#Column	eRV	(F7.4)	? Internal error of RV	[ucd=stat.error]
#Column	sRV	(F7.4)	? Standard deviation of RV	[ucd=stat.error]
#Column	VC	(A2)	Plot of velocity points (if 10 points or more)	[ucd=meta.ref.url]
#Column	N	(I3)	? Number of RV measurements	[ucd=meta.number]
#Column	e_RV	(F7.4)	? Uncertainty of RV	[ucd=stat.error]
#Column	Tbase	(I5)	? Time baseline of the N observations	[ucd=time.interval]
#Column	JDm	(I5)	? Mean Julian Day of observations (JD-2400000)	[ucd=time.epoch;stat.mean]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F10.6)	Right Ascension (J2000) from I/239/hip_main	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Declination (J2000) from I/239/hip_main	[ucd=pos.eq.dec;meta.main]
HIP;RAJ2000;DEJ2000;Vmag;B-V;SpType;Cat;RV;eRV;sRV;VC;N;e_RV;Tbase;JDm;Simbad;_RA;_DE
  1368;00 17 05.94;+40 56 53.1; 8.99; 1.370;M0        ;ni       ;   2.881; 0.0128; 0.1943;VC;  8; 0.0687; 4783;51691;Simbad;004.276561;+40.948295
  1382;00 17 16.21;-43 51 09.7; 7.96; 0.651;G5IV-V    ;nor      ;  11.524; 0.0082; 0.0102;VC;  4; 0.0051; 3768;53519;Simbad;004.318867;-43.852734
  1434;00 17 52.81;+44 34 40.6; 7.38; 1.029;K0        ;fa       ;  -1.716; 0.0098; 0.0960;VC;  3; 0.0554; 1092;55111;Simbad;004.470130;+44.577946
  1477;00 18 20.74;+30 23 45.8; 7.08; 1.186;K3III     ;fa       ; -37.771; 0.0080; 0.0467;VC;  2; 0.0330;  320;55292;Simbad;004.586514;+30.395940
  1499;00 18 41.62;-08 03 09.5; 6.47; 0.674;G0V       ;ni,nor   ; -10.086; 0.0087; 0.0224;VC; 17; 0.0054; 4753;55086;Simbad;004.674449;-08.053001
  1541;00 19 12.78;+13 34 38.2; 8.19; 0.657;F8        ;nor      ;  -7.367; 0.0052; 0.0165;VC; 13; 0.0046; 3983;53876;Simbad;004.803293;+13.577006
  1779;00 22 34.79;-73 01 56.1; 8.59; 0.769;G8V       ;nor      ;  37.204; 0.0091; 0.0063;VC;  4; 0.0045; 4332;53929;Simbad;005.644884;-73.032355
  1813;00 23 00.08;+22 22 31.9; 7.57; 0.639;F8        ;ni,nor   ; -30.502; 0.0047; 0.0085;VC; 37; 0.0014; 3679;53128;Simbad;005.750872;+22.375001
  2292;00 29 16.18;-05 54 35.8; 7.78; 0.649;G0        ;nor      ;   9.776; 0.0099; 0.0257;VC;  5; 0.0115; 1136;55211;Simbad;007.317121;-05.910487
  2567;00 32 35.09;-18 06 33.0; 8.09; 0.749;G6IV/V    ;nor      ;  10.585; 0.0098; 0.0626;VC;  3; 0.0361; 1105;54898;Simbad;008.146284;-18.109124
  2712;00 34 29.37;+47 54 55.4; 7.38; 0.549;F8        ;ni,nor   ; -12.296; 0.0152; 0.0199;VC; 25; 0.0040; 4846;51876;Simbad;008.623801;+47.915542
  2832;00 35 54.88;+13 12 27.0; 6.32; 0.517;F7V       ;nor      ; -23.372; 0.0044; 0.0153;VC; 20; 0.0034; 4449;54784;Simbad;008.978339;+13.207067
  3001;00 38 08.18;-66 02 34.6; 7.37; 0.611;G0V       ;nor      ;   3.562; 0.0157; 0.0098;VC;  3; 0.0091; 1102;55392;Simbad;009.534831;-66.042812
  3119;00 39 40.61;+11 31 56.3; 7.43; 0.538;F8        ;ni,nor   ;   0.249; 0.0084; 0.0141;VC;  2; 0.0100; 1175;54988;Simbad;009.919603;+11.532281
  3127;00 39 44.76;-41 39 33.7; 8.46; 0.575;F8V       ;nor      ;  15.410; 0.0142; 0.0139;VC;  3; 0.0082; 1104;55392;Simbad;009.936228;-41.659581
  3132;00 39 47.75;+82 29 36.9; 6.38; 0.551;F6V 0     ;nor      ; -34.535; 0.0128; 0.0447;VC;  8; 0.0158; 1478;53813;Simbad;009.946864;+82.493762
  3142;00 39 57.59;-33 57 40.3; 6.68; 0.519;F7V       ;nor      ; -12.215; 0.0108; 0.0120;VC;  4; 0.0060; 1104;55515;Simbad;009.990932;-33.961449
  3169;00 40 24.34;-07 39 23.1; 7.43; 0.571;F8        ;nor      ;  -5.559; 0.0090; 0.7038;VC;  4; 0.3519; 1471;55221;Simbad;010.101722;-07.656663
  3204;00 40 47.98;-27 22 30.7; 8.36; 0.531;F6/F7V    ;nor      ;  -8.274; 0.0182; 0.0361;VC;  2; 0.0255;  725;55145;Simbad;010.199993;-27.375301
  3206;00 40 49.00;+40 11 19.7; 7.36; 0.937;K2V       ;ni,nor   ; -63.113; 0.0049; 0.0160;VC; 62; 0.0020; 6089;52962;Simbad;010.205290;+40.187173
  3311;00 42 09.70;-03 03 21.7; 8.39; 0.677;G5        ;nor      ; -11.856; 0.0104; 0.0240;VC;  4; 0.0120; 4358;54143;Simbad;010.540740;-03.056377
  3318;00 42 18.44;-45 33 03.8; 8.15; 0.543;F7V       ;nor      ;  19.460; 0.0172; 0.0119;VC;  3; 0.0099;  336;55997;Simbad;010.576596;-45.551163
  3479;00 44 26.45;-26 30 57.8; 7.78; 0.664;G5V       ;ni,nor   ;  56.797; 0.0082; 0.0162;VC;  4; 0.0081; 4550;53875;Simbad;011.111043;-26.515680
  3483;00 44 27.64;-13 24 56.7; 7.58; 0.516;F6V       ;nor      ; -17.035; 0.0124; 0.0193;VC;  3; 0.0112; 1092;55744;Simbad;011.115349;-13.415817
  3497;00 44 39.04;-65 38 51.8; 6.55; 0.655;G3V       ;nor      ;  95.251; 0.0055; 0.0776;VC; 23; 0.0162; 4454;54495;Simbad;011.163616;-65.649522
  3535;00 45 04.92;+01 47 12.9; 8.03; 0.983;K2V       ;ni       ;   9.544; 0.0097; 0.0457;VC;  2; 0.0323;  814;53659;Simbad;011.270393;+01.785521
  3780;00 48 34.68;-67 31 53.9; 8.10; 0.501;F6V       ;nor      ;  17.622; 0.0324; 0.0508;VC;  3; 0.0294; 1104;55392;Simbad;012.145222;-67.531685
  3796;00 48 46.60;+78 28 02.3; 7.11; 0.972;K0        ;fa       ;   1.917; 0.0080; 0.0078;VC;  2; 0.0057;  320;55292;Simbad;012.194427;+78.467251
  3832;00 49 11.85;-53 46 26.7; 7.56; 0.505;F6/F7V    ;nor      ;   3.390; 0.0522; 0.0148;VC;  2; 0.0369;  725;55145;Simbad;012.299082;-53.774174
  3979;00 51 10.69;-05 02 20.4; 6.98; 0.663;G0        ;ni,nor   ;  -3.645; 0.0072; 0.0156;VC;  8; 0.0055; 3780;53537;Simbad;012.795200;-05.039278
  4003;00 51 24.13;-78 38 37.3; 9.87; 0.954;K2III 0   ;nor      ;  23.095; 0.0109; 0.0170;VC;  2; 0.0120;  725;55145;Simbad;012.852686;-78.644012
  4093;00 52 31.93;-20 59 45.8; 7.84; 0.654;G3/G5V    ;nor      ;  21.644; 0.0115; 0.0170;VC;  2; 0.0120;  725;55145;Simbad;013.133384;-20.996273
  4103;00 52 40.01;+31 27 34.1; 8.36; 0.707;G0        ;nor      ;  -7.249; 0.0086; 0.0331;VC;  7; 0.0125; 1506;54635;Simbad;013.167321;+31.459362
  4148;00 53 00.72;-30 21 25.2; 7.15; 0.936;K2V       ;ni,nor   ; -13.021; 0.0069; 0.0157;VC;  6; 0.0064; 3629;53982;Simbad;013.254729;-30.356915
  4319;00 55 14.84;-25 36 20.5; 9.44; 0.592;G2/G3V    ;nor      ;  -7.924; 0.0128; 0.0177;VC;  2; 0.0125;  724;55146;Simbad;013.812030;-25.605680
  4343;00 55 41.03;-33 45 11.0; 9.62; 0.724;G(wp)     ;nor      ;  27.708; 0.0356; 0.0450;VC;  3; 0.0260; 1103;55393;Simbad;013.921041;-33.753182
  4393;00 56 17.17;+52 29 28.4; 7.53; 0.667;G5        ;ni,nor   ;   0.649; 0.0045; 0.0096;VC; 43; 0.0015; 5061;54224;Simbad;014.072365;+52.491237
  4702;01 00 27.93;-19 23 21.3; 8.01; 0.657;G3V       ;nor      ;   5.268; 0.0112; 0.0207;VC;  3; 0.0119; 1105;54898;Simbad;015.116715;-19.389390
  4772;01 01 18.94;-60 51 37.4; 6.91; 0.650;G1/G2V    ;nor      ;  31.735; 0.0071; 0.0063;VC;  4; 0.0035; 4401;53814;Simbad;015.329300;-60.860148
  4882;01 02 44.03;-47 17 14.1; 7.70; 0.591;G0V       ;nor      ;  18.481; 0.0089; 0.0024;VC;  4; 0.0044; 3752;53358;Simbad;015.683333;-47.287581
  5073;01 04 50.35;+07 02 46.3; 7.93; 0.543;F8        ;nor      ;   8.944; 0.0092; 0.0480;VC;  3; 0.0277; 1505;54387;Simbad;016.210143;+07.045940
  5168;01 06 06.20;-41 30 03.6; 8.91; 0.813;G6/G8V    ;nor      ; -34.309; 0.0120; 0.0164;VC;  3; 0.0095; 1103;55393;Simbad;016.525964;-41.500846
  5176;01 06 12.53;+13 15 10.0; 8.15; 0.656;G0        ;nor      ;  10.366; 0.0056; 0.0155;VC; 15; 0.0040; 3683;53572;Simbad;016.552629;+13.252752
  5240;01 07 00.07;+56 56 06.9; 6.41; 1.188;K2III...  ;fa       ; -96.737; 0.0096; 0.0654;VC;  2; 0.0462; 5156;52554;Simbad;016.750725;+56.934972
  5315;01 07 59.58;+01 59 38.7; 6.44; 0.847;K0IV      ;fa,ni,nor; -94.511; 0.0082; 0.0742;VC;  2; 0.0525;  825;55162;Simbad;016.998601;+01.993042
  5455;01 09 49.33;-56 21 21.8; 9.02; 0.803;G6/8wF8IV/;nor      ; 118.378; 0.0149; 0.0139;VC;  3; 0.0086; 1103;55393;Simbad;017.456116;-56.356025
  5578;01 11 32.10;-12 50 34.5; 7.48; 0.589;G1V       ;nor      ; -16.612; 0.0093; 0.0208;VC; 11; 0.0063; 4504;54837;Simbad;017.883670;-12.843083
  5777;01 14 07.15;+25 49 40.1; 8.35; 0.550;G0V       ;nor      ; -17.258; 0.0172; 0.0371;VC; 29; 0.0069; 3683;53646;Simbad;018.529924;+25.827646
  5806;01 14 29.42;-05 02 49.4; 7.50; 0.575;F8        ;nor      ; -19.749; 0.0083; 0.0275;VC;  6; 0.0112; 4373;54216;Simbad;018.622174;-05.047387
  5895;01 15 44.95;-53 42 56.7; 8.25; 0.646;G3V       ;nor      ;  -0.836; 0.0087; 0.0080;VC;  4; 0.0043; 4442;53815;Simbad;018.937762;-53.715676
  5936;01 16 18.90;+33 06 53.3; 6.04; 1.163;K1III     ;fa       ;   6.471; 0.0095; 0.0028;VC;  2; 0.0067; 2558;53852;Simbad;019.078841;+33.114720
  5938;01 16 24.12;-12 05 49.2; 7.55; 0.753;K0V       ;nor      ;   8.494; 0.0071; 0.0247;VC; 14; 0.0066; 3261;53609;Simbad;019.100814;-12.097000
  5944;01 16 29.34;+42 56 22.2; 6.59; 0.594;G0        ;ni,nor   ; -12.987; 0.0096; 0.0047;VC;  2; 0.0068; 1146;53828;Simbad;019.121887;+42.939420
  5985;01 16 58.86;-02 16 43.7; 6.52; 0.563;F8        ;ni,nor   ;   5.978; 0.0076; 0.0299;VC;  5; 0.0134; 4541;53966;Simbad;019.245860;-02.279160
  6015;01 17 20.21;-35 22 49.8; 9.62; 0.780;K0IV/V    ;nor      ;  21.912; 0.0185; 0.0092;VC;  2; 0.0131;  336;56053;Simbad;019.334128;-35.380672
  6197;01 19 29.08;-24 57 03.3; 8.41; 0.701;G5V       ;nor      ;   9.830; 0.0119; 0.0211;VC;  3; 0.0122; 1101;55392;Simbad;019.871098;-24.951209
  6206;01 19 33.40;-39 21 45.8; 7.65; 0.622;G2V       ;nor      ;   2.664; 0.0084; 0.0133;VC;  4; 0.0066; 3623;53329;Simbad;019.889135;-39.362599
  6259;01 20 18.00;+43 30 36.5; 7.06; 1.103;K0        ;fa       ;  -8.111; 0.0093; 0.0157;VC;  3; 0.0091; 1092;55111;Simbad;020.075055;+43.510174
  6285;01 20 37.04;+54 57 45.2; 7.21; 0.586;G0        ;nor      ;  -8.198; 0.0046; 0.0136;VC; 38; 0.0022; 4399;53478;Simbad;020.153931;+54.962350
  6405;01 22 17.53;+18 40 57.8; 6.96; 0.627;G3V       ;ni,nor   ;   5.658; 0.0137; 0.0183;VC; 11; 0.0055; 4627;51938;Simbad;020.574484;+18.682704
  6455;01 23 00.96;-16 29 13.3; 7.92; 0.656;G5V       ;nor      ;  -7.683; 0.0077; 0.0085;VC;  5; 0.0038; 2600;53899;Simbad;020.753641;-16.487462
  6511;01 23 37.19;-41 16 10.7; 7.70; 0.553;G0V       ;nor      ;   2.460; 0.0162; 0.0099;VC;  2; 0.0115;  724;55146;Simbad;020.905150;-41.269801
  6528;01 23 50.84;-05 49 06.8; 7.65; 0.533;F8        ;nor      ; -15.490; 0.0098; 0.0297;VC;  4; 0.0148;  758;55043;Simbad;020.961673;-05.819014
  6551;01 24 12.19;-31 48 42.4; 6.85; 0.569;F8V       ;nor      ;  20.044; 0.0074; 0.0098;VC;  4; 0.0049; 4356;53825;Simbad;021.051264;-31.811963
  6643;01 25 12.35;+28 34 01.5; 7.12; 0.577;F8        ;ni,nor   ;  18.926; 0.0164; 0.0431;VC; 45; 0.0064; 3135;51905;Simbad;021.302153;+28.566693
  6653;01 25 20.07;+01 27 39.6; 7.38; 0.675;G5        ;ni,nor   ;   1.051; 0.0048; 0.0243;VC; 42; 0.0038; 5049;53510;Simbad;021.333776;+01.460854
  6717;01 26 27.32;-00 23 56.3; 6.42; 1.241;K0IV      ;IAU_std  ;  -4.084; 0.0078; 0.0542;VC;  8; 0.0192;  758;55039;Simbad;021.613948;-00.399034
  6752;01 26 53.81;+37 29 32.7; 7.52; 0.549;F8        ;nor      ;  -8.317; 0.0095; 0.0254;VC; 11; 0.0077; 2563;54754;Simbad;021.724189;+37.492209
  6854;01 28 07.24;-28 03 05.0; 7.73; 0.527;F6/F7V    ;nor      ;  30.501; 0.0213; 0.0297;VC;  2; 0.0210;  724;55146;Simbad;022.030464;-28.051253
  6869;01 28 24.29;+17 04 45.6; 6.60; 0.526;F8IV-V    ;ni,nor   ;   9.098; 0.0115; 0.1572;VC;  3; 0.0908; 1791;54970;Simbad;022.101509;+17.079259
  6949;01 29 28.56;-51 30 04.4; 7.69; 0.839;G8IV/V    ;nor      ;  15.796; 0.0114; 0.0129;VC;  4; 0.0064; 1437;55599;Simbad;022.369309;-51.501876
  7018;01 30 24.98;-29 15 33.9; 9.41; 0.863;K0V       ;nor      ; -33.009; 0.0102; 0.0084;VC;  4; 0.0051; 3674;53487;Simbad;022.604019;-29.258875
  7060;01 31 01.46;-51 12 54.9; 7.76; 0.624;G2V       ;nor      ;  22.031; 0.0152; 0.0085;VC;  3; 0.0088; 1101;55392;Simbad;022.756593;-51.215432
  7090;01 31 19.41;+29 24 47.9; 7.32; 0.622;G0V       ;ni,nor   ;  14.991; 0.0045; 0.0131;VC; 35; 0.0022; 3677;53261;Simbad;022.831352;+29.413089
  7237;01 33 16.15;-47 18 23.7; 8.19; 0.570;G0/G1V    ;nor      ;  18.955; 0.0134; 0.0007;VC;  2; 0.0095;  724;55146;Simbad;023.317090;-47.306071
  7240;01 33 17.17;-38 14 41.7; 8.19; 0.611;G1V       ;nor      ;  -3.888; 0.0134; 0.0060;VC;  3; 0.0077; 1101;55392;Simbad;023.321433;-38.245016
  7244;01 33 19.03;+23 58 31.8; 7.63; 0.666;G0        ;nor      ;  11.460; 0.0167; 0.0167;VC; 11; 0.0050; 2060;51463;Simbad;023.329281;+23.975569
  7339;01 34 33.88;+68 56 52.3; 6.52; 0.686;G6V       ;ni       ; -33.213; 0.0041; 0.0050;VC; 15; 0.0013; 2624;55651;Simbad;023.638598;+68.948137
  7357;01 34 48.74;+00 56 43.5; 6.90; 0.531;F8V       ;nor      ; -22.440; 0.0153; 0.0590;VC; 25; 0.0118; 4335;51867;Simbad;023.703606;+00.944767
  7429;01 35 41.82;-55 14 18.4; 7.85; 0.556;F8/G0V    ;nor      ;   4.792; 0.0097; 0.0101;VC;  4; 0.0051; 3771;53403;Simbad;023.924891;-55.237984
  7444;01 35 52.46;+41 04 35.1; 6.39; 1.122;K1III     ;fa       ;  66.960; 0.0095; 0.0615;VC;  2; 0.0435;  386;54938;Simbad;023.969065;+41.076420
  7539;01 37 08.44;-29 23 35.1; 8.14; 0.830;K1V       ;ni,nor   ;  11.675; 0.0070; 0.0117;VC;  6; 0.0048; 4139;53938;Simbad;024.285948;-29.393263
  7576;01 37 35.37;-06 45 36.7; 7.66; 0.797;G5        ;nor      ;  11.706; 0.0063; 0.0074;VC; 11; 0.0022; 3770;53386;Simbad;024.397776;-06.760424
  7585;01 37 40.81;+12 04 42.1; 6.77; 0.648;G5V       ;ni,nor   ; -21.007; 0.0105; 0.0102;VC; 14; 0.0028; 2660;51635;Simbad;024.420336;+12.078382
  7599;01 37 53.59;-60 30 41.6; 7.33; 0.629;G1V       ;nor      ;  35.514; 0.0082; 0.0087;VC;  4; 0.0043; 3378;53474;Simbad;024.473234;-60.511527
  7733;01 39 35.64;+28 06 38.4; 7.74; 0.733;G8V       ;ni,nor   ;  56.205; 0.0096; 0.0936;VC;  2; 0.0662; 4004;53450;Simbad;024.899890;+28.111027
  7734;01 39 35.84;+45 52 42.0; 6.60; 0.690;G5IV      ;ni,nor   ;   2.185; 0.0152; 0.0193;VC; 40; 0.0030; 5449;52347;Simbad;024.900074;+45.877771
  7822;01 40 36.35;-36 28 59.7; 7.92; 0.714;G5V       ;nor      ;  43.115; 0.0078; 0.0098;VC;  4; 0.0049; 4024;54170;Simbad;025.151730;-36.483616
  7902;01 41 36.70;+66 54 38.1; 7.70; 0.691;G5V       ;ni,nor   ;  17.844; 0.0306; 0.0240;VC;  2; 0.0216;  321;50989;Simbad;025.407206;+66.909946
  8070;01 43 41.25;+63 49 29.3; 8.42; 1.202;K5V       ;ni,nor   ; -50.827; 0.0167; 0.0165;VC;  5; 0.0075; 1838;50394;Simbad;025.919689;+63.823401
  8159;01 44 55.85;+20 05 00.3; 6.27; 0.720;G5IV      ;ni,nor   ; -45.862; 0.0080; 0.0622;VC;  2; 0.0440; 1172;54989;Simbad;026.232602;+20.083149
  8165;01 45 00.56;+58 47 28.7; 8.76; 1.044;K0III     ;fa       ;  12.598; 0.0099; 0.0445;VC;  2; 0.0315;  388;54939;Simbad;026.252522;+58.791285
  8273;01 46 37.55;-74 44 20.4; 7.35; 0.803;G8IV      ;nor      ;  25.409; 0.0125; 0.0021;VC;  2; 0.0089;  724;55146;Simbad;026.656856;-74.738742
  8346;01 47 38.43;-26 44 57.7; 8.98; 0.795;K0V       ;ni,nor   ;  22.885; 0.0079; 0.0016;VC;  4; 0.0039; 2884;54377;Simbad;026.909922;-26.750023
  8398;01 48 20.26;-41 29 43.6; 7.13; 0.637;G4V       ;nor      ;  36.367; 0.0072; 0.0272;VC;  4; 0.0136; 4539;54028;Simbad;027.085764;-41.495064
